stock_symbol,date_only,data_source,Open,High,Low,Close,Volume,daily_return,sentiment_compound_filled,sentiment_positive_filled,sentiment_negative_filled,sentiment_neutral_filled,prev_day_sentiment_compound_filled,prev_day_sentiment_positive_filled,prev_day_sentiment_negative_filled,prev_day_sentiment_neutral_filled,sentiment_compound_is_filled,prev_day_sentiment_compound_is_filled,no_post_prediction,post_count_filled,prev_day_post_count_filled,day_of_week,month,is_quarter_end,volatility,sentiment_7day_avg,next_day_direction,predicted_direction,next_day_up,next_day_return
NVDA,2024-11-21,news,149.325985,152.8654089,140.6773671,146.6464081,400946600,-1.794447824,-0.796,0,0.033,0.967,-0.296,0,0.033,0.967,TRUE,TRUE,TRUE,1,1,3,11,FALSE,8.162036788,-0.2424,down,down,0,-2.727332233
NVDA,2024-11-22,news,145.9065098,147.1363229,141.0773005,141.9271545,236406200,-2.727332233,-0.796,0,0.033,0.967,-0.296,0,0.033,0.967,TRUE,TRUE,TRUE,1,1,4,11,FALSE,4.152674476,-0.1796714286,down,down,0,-4.204522142
NVDA,2024-11-25,news,141.967164,142.0271519,135.7981584,135.9981232,344941900,-4.204522142,0.05,0,0.033,0.967,-0.296,0,0.033,0.967,TRUE,TRUE,TRUE,1,1,0,11,FALSE,4.387629753,-0.296,down,flat,0,-0.5664479278
NVDA,2024-11-26,news,137.6778531,139.2776019,135.6481808,136.8979797,190287700,-0.5664479278,1.2506,0.09,0,0.91,-0.296,0,0.033,0.967,FALSE,TRUE,TRUE,1,1,1,11,FALSE,2.636169182,-0.1464857143,flat,up,0,0.244427705
NVDA,2024-11-27,news,134.9882733,137.1979245,131.7787983,135.318222,226370900,0.244427705,0.2506,0.09,0,0.91,0.7506,0.09,0,0.91,TRUE,FALSE,FALSE,1,1,2,11,FALSE,4.01451625,0.003028571429,up,down,1,1.074719428
NVDA,2024-11-29,news,136.7580031,139.3275972,136.0281248,138.2277679,141863200,1.074719428,1.2506,0.09,0,0.91,0.7506,0.09,0,0.91,TRUE,TRUE,TRUE,1,1,4,11,FALSE,2.412635679,0.1525428571,flat,up,0,-0.1440588818
NVDA,2024-12-02,news,138.8076613,140.4273957,137.7978293,138.6076965,171682800,-0.1440588818,0.1124,0.079,0,0.921,0.7506,0.09,0,0.91,FALSE,TRUE,TRUE,1,1,0,12,FALSE,1.894395728,0.2823142857,up,down,1,1.446550036
NVDA,2024-12-03,news,138.2377636,140.5173958,137.9278159,140.237442,164414000,1.446550036,0.1124,0.079,0,0.921,0.6124,0.079,0,0.921,TRUE,FALSE,FALSE,1,1,1,12,FALSE,1.873279648,0.4120857143,up,down,1,2.211267176
NVDA,2024-12-04,news,141.9771591,145.7665428,140.2674275,145.1166534,231224300,2.211267176,0.02,0.079,0,0.921,0.6124,0.079,0,0.921,TRUE,TRUE,TRUE,1,1,2,12,FALSE,3.873239437,0.5418571429,flat,flat,0,-0.03445872204
NVDA,2024-12-05,news,145.0966598,146.526521,143.9367628,145.0466614,172621200,-0.03445872204,0.1124,0.079,0,0.921,0.6124,0.079,0,0.921,TRUE,TRUE,TRUE,1,1,3,12,FALSE,1.784850339,0.6716285714,down,down,0,-1.493778403
